numero_turno,nome_municipio,sigla_partido,descricao_cargo,nome,total_votos
1,AUREA,PP,PREFEITO,ANTONIO JORGE SLUSSAREK,1513
1,AUREA,PT,PREFEITO,ITO ADOLFO MULLER,1213
1,AUREA,PP,VEREADOR,JOAO ARTEMIO MATACZINSKI,122
1,AUREA,PP,VEREADOR,VANJA MARIA FRONZA,268
1,AUREA,PP,VEREADOR,MILTON OMIZOLO,115
1,AUREA,PDT,VEREADOR,CRISTINA HABAS DALAGNOL,52
1,AUREA,PRB,VEREADOR,LOURENSO RODRIGUES,22
1,AUREA,PDT,VEREADOR,GOMERCINDO PEREIRA DA SILVA,18
1,AUREA,PDT,VEREADOR,LUCI CARLA MODTKOWSKI,99
1,AUREA,PDT,VEREADOR,ADELAR KOCISESKI,216
1,AUREA,PDT,VEREADOR,GABRIEL JOSE PALCINSKI,34
1,AUREA,PDT,VEREADOR,CARLOS NOSKOSKI,46
1,AUREA,PMDB,VEREADOR,NELSON EGIDIO WALCHINSKI,255
1,AUREA,PP,VEREADOR,GENOIR NATALIO SPIWAKOSKI,24
1,AUREA,PMDB,VEREADOR,LORECI KIPPER SCIESLESKI,119
1,AUREA,PT,VEREADOR,MIRIAM APARECIDA BANASZEWSKI,65
1,AUREA,PT,VEREADOR,HERMINIO MIGUEL MAY,126
1,AUREA,PT,VEREADOR,ELTON CARLOS SIRENA,131
1,AUREA,PT,VEREADOR,JOSECLER ANDRE GUTOWSKI,86
1,AUREA,PTB,VEREADOR,NELSON CUIAVA,160
1,AUREA,PTB,VEREADOR,CLAUDETE MARIA MOSTIFAGA PAVLAK,65
1,AUREA,PTB,VEREADOR,ROSANE SONIA GRABOSKI,53
1,AUREA,PT,VEREADOR,SALETE SIRLEI OLIARI,46
1,AUREA,PTB,VEREADOR,EUCLESIO TEIXEIRA,69
1,AUREA,PTB,VEREADOR,OSMAR JOAO GAVENDA,65
1,AUREA,PTB,VEREADOR,SILMAR ANTONIO PRICHOA,220
1,AUREA,PTB,VEREADOR,RELSON ANTONIO DALAGNOL,121
1,AUREA,PP,VEREADOR,IVONE MARIA VIEGAS DE SOUZA,8
1,AUREA,PMDB,VEREADOR,CAROLINA SOSTIZZO,25
1,TRES ARROIOS,PTB,PREFEITO,JORGE LUIZ WILHELM,908
1,TRES ARROIOS,PDT,PREFEITO,LIRIO ANTONIO ZARICHTA,1350
1,TRES ARROIOS,PTB,VEREADOR,KAREN CABRAL GOMES FIGUEIRAS,8
1,TRES ARROIOS,PT,VEREADOR,CLAUDIO BOTH,41
1,TRES ARROIOS,PRB,VEREADOR,AMELIA BALDIN ZAHNER,21
1,TRES ARROIOS,PT,VEREADOR,ADEMIR PERTUSSATTI,69
1,TRES ARROIOS,PTB,VEREADOR,SANDRA MARA PEZENATTO,10
1,TRES ARROIOS,PSC,VEREADOR,ANTONIO ALTAIR BRITO,7
1,TRES ARROIOS,PSDB,VEREADOR,VALDIR BONI,126
1,TRES ARROIOS,PTB,VEREADOR,IEDA MARIA PASQUALI,91
1,TRES ARROIOS,PRB,VEREADOR,PAULO ROBERTO VICENSI,22
1,TRES ARROIOS,PT,VEREADOR,DOUGLAS RAFAEL ZANELLA,131
1,TRES ARROIOS,PTB,VEREADOR,NELDO FRANCISCO SCHOLL,68
1,TRES ARROIOS,PTB,VEREADOR,RONIE ANDERSON WELTER,25
1,TRES ARROIOS,PTB,VEREADOR,TIAGO SCHAFER,166
1,TRES ARROIOS,PDT,VEREADOR,ROQUE INACIO KLEIN,0
1,TRES ARROIOS,PDT,VEREADOR,ROBERTO ANSELMO RORBACHER,20
1,TRES ARROIOS,PDT,VEREADOR,SALETE ALEBRANDT,113
1,TRES ARROIOS,PDT,VEREADOR,BENILDE IDA FRANCISCON KIPER,62
1,TRES ARROIOS,PDT,VEREADOR,RAFAEL POLLI OSTROVSKI,120
1,TRES ARROIOS,PDT,VEREADOR,NILVA DAMBROS SCARATTI,24
1,TRES ARROIOS,PMDB,VEREADOR,DUQUES DEMARCO,123
1,TRES ARROIOS,PMDB,VEREADOR,VILMAR LUIZ GAZONI,114
1,TRES ARROIOS,PMDB,VEREADOR,LAUDINO BAU,104
1,TRES ARROIOS,PMDB,VEREADOR,VOLMIR LUIS SOCCOL,138
1,TRES ARROIOS,PMDB,VEREADOR,NOELI SIRENA,29
1,TRES ARROIOS,PSD,VEREADOR,GERSON ANDRE KLEIN,14
1,TRES ARROIOS,PSD,VEREADOR,ALCEU LUIS SCHAFER,121
1,TRES ARROIOS,PDT,VEREADOR,NELCINDA MARIA CORDONE,27
1,TRES ARROIOS,PMDB,VEREADOR,CENITE MARIA SALVI,40
1,TRES ARROIOS,PSD,VEREADOR,LAERCIO JOSE TUBIN,143
1,TRES ARROIOS,PDT,VEREADOR,EVANDRO RICARDO KAMMLER,67
1,TRES ARROIOS,PP,VEREADOR,DIRCEU JORGE VESOLOSKI,44
1,TRES ARROIOS,PRB,VEREADOR,ANDREIA MARIA MULLER,20
1,NOVA ROMA DO SUL,PMDB,PREFEITO,MARCELO LUIZ PANAZZOLO,1351
1,NOVA ROMA DO SUL,PP,PREFEITO,DOUGLAS FAVERO PASUCH,1450
1,NOVA ROMA DO SUL,PMDB,VEREADOR,GUSTAVO DE DEA,210
1,NOVA ROMA DO SUL,PMDB,VEREADOR,ROBERTA BORELLA MOURA SILVA,14
1,NOVA ROMA DO SUL,PMDB,VEREADOR,ODETE ARALDI BORTOLINI,180
1,NOVA ROMA DO SUL,PMDB,VEREADOR,DARCI MARINI,97
