sigla,nome
PP,PARTIDO PROGRESSISTA
PT,PARTIDO DOS TRABALHADORES
PDT,PARTIDO DEMOCRATICO TRABALHISTA
PRB,PARTIDO REPUBLICANO BRASILEIRO
PMDB,PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO
PTB,PARTIDO TRABALHISTA BRASILEIRO
PSC,PARTIDO SOCIAL CRISTAO
PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
PSD,PARTIDO SOCIAL DEMOCRATICO
PT DO B,PARTIDO TRABALHISTA DO BRASIL
PSB,PARTIDO SOCIALISTA BRASILEIRO
DEM,DEMOCRATAS
PPS,PARTIDO POPULAR SOCIALISTA
REDE,REDE SUSTENTABILIDADE
PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL
PC DO B,PARTIDO COMUNISTA DO BRASIL
SD,SOLIDARIEDADE
PV,PARTIDO VERDE
PR,PARTIDO DA REPUBLICA
PEN,PARTIDO ECOLOGICO NACIONAL
PSOL,PARTIDO SOCIALISMO E LIBERDADE
PSTU,PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO
PMN,PARTIDO DA MOBILIZACAO NACIONAL
PHS,PARTIDO HUMANISTA DA SOLIDARIEDADE
PSL,PARTIDO SOCIAL LIBERAL
PSDC,PARTIDO SOCIAL DEMOCRATA CRISTAO
PPL,PARTIDO PATRIA LIVRE
PRP,PARTIDO REPUBLICANO PROGRESSISTA
PTC,PARTIDO TRABALHISTA CRISTAO
PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO
PTN,PARTIDO TRABALHISTA NACIONAL
PCB,PARTIDO COMUNISTA BRASILEIRO
NOVO,PARTIDO NOVO
PCO,PARTIDO DA CAUSA OPERARIA
